hour,inventory_time,inventory_tx,cm inv,unique_tx,unique_fp,unique_fn,tp_inv,tn_inv,fp_inv,fn_inv,fn_index_inv,fn_expiry_inv,FPR inv,FNR inv,Accuracy % inv,Reprocess % inv,total_tx,cm total,entry_tx,cm entry,added_tx,tp_entry,tn_entry,fp_entry,fn_entry,fn_index_entry,fn_expiry_entry,FPR Entry,FNR Entry,Accuracy % Entry,Reprocess % Entry,exit_tx,cm exit,exited_tx,block_tx,debris,tp_exit,tn_exit,fp_exit,fn_exit,fn_index_exit,fn_expiry_exit,fn_index,fn_expiry,FPR Exit,FNR Exit,Accuracy % Exit,Reprocess % Exit,FPR,FNR,Accuracy %,Reprocess %,current_mempool_tx,shadow_mempool.size(),(fp_entry-fn_entry+fp_exit-fn_exit),non_block,shadow check,debris check
23,82800,81371,81371,71248,1,4677,67710,7942,1,5718,0,4677,1.22894e-05,0.0702707,99.9988,7.02707,1437296,1355925,1355925,1355925,1346824,8608,1340269,493,6555,0,6555,0.000363589,0.00483434,99.9636,0.483434,0,0,0,0,0,0,0,0,0,0,0,0,11232,-nan,-nan,-nan,-nan,0.000343701,0.00853895,99.9656,0.853895,453917,1340762,-6062,0,447855,18446744073708658709,2.46488e+08,453917,0,1
24,86400,89800,89800,79347,4,4768,70248,13730,4,5818,0,4768,4.45434e-05,0.0647884,99.9955,6.47884,1492581,1402781,1402781,1402781,1393182,9077,1386405,522,6777,0,6777,0.000372118,0.00483112,99.9628,0.483112,0,0,0,0,0,0,0,0,0,0,0,0,11545,-nan,-nan,-nan,-nan,0.00035241,0.0084384,99.9648,0.84384,500275,1386927,-6255,0,494020,18446744073708658709,2.54817e+08,500275,0,1
25,90000,92427,92427,81785,4,6987,70248,14044,4,8131,0,6987,4.32774e-05,0.0879721,99.9957,8.79721,1542101,1449674,1449674,1449674,1440075,9077,1432245,522,7830,0,7830,0.000360081,0.00540121,99.964,0.540121,0,0,0,0,0,0,0,0,0,0,0,0,14817,-nan,-nan,-nan,-nan,0.000341093,0.0103502,99.9659,1.03502,1,1426841,-7308,0,-7307,18446744073708117468,2.62409e+08,1,0,1
26,93600,95584,95584,84661,4,7002,72995,14439,4,8146,0,7002,4.1848e-05,0.0852235,99.9958,8.52235,1593489,1497905,1497905,1497905,1487891,9492,1479393,522,8498,0,8498,0.000348487,0.00567326,99.9651,0.567326,0,0,0,0,0,0,0,0,0,0,0,0,15500,-nan,-nan,-nan,-nan,0.000330093,0.010445,99.967,1.0445,47817,1340751,-7976,0,39841,18446744073708250706,2.4834e+08,47817,0,1
27,97200,99862,99862,88452,4,7003,76543,15168,4,8147,0,7003,4.00553e-05,0.0815826,99.996,8.15826,1642684,1542822,1542822,1542822,1532579,9721,1523774,522,8805,0,8805,0.000338341,0.00570707,99.9662,0.570707,0,0,0,0,0,0,0,0,0,0,0,0,15808,-nan,-nan,-nan,-nan,0.000320208,0.0103197,99.968,1.03197,92505,1300218,-8283,0,84222,18446744073708335620,2.42388e+08,92505,0,1
28,100800,102652,102652,90924,4,7005,78756,15738,4,8154,0,7005,3.89666e-05,0.0794334,99.9961,7.94334,1690027,1587375,1587375,1587375,1577036,9814,1567704,525,9332,0,9332,0.000330735,0.00587889,99.9669,0.587889,0,0,0,0,0,0,0,0,0,0,0,0,16337,-nan,-nan,-nan,-nan,0.000313013,0.0103466,99.9687,1.03466,136962,1272823,-8807,0,128155,18446744073708406948,2.38795e+08,136962,0,1
29,104400,105078,105078,93070,4,7006,80951,15967,4,8156,0,7006,3.8067e-05,0.0776185,99.9962,7.76185,1738131,1633053,1633053,1633053,1622308,10219,1612800,526,9508,0,9508,0.000322096,0.00582222,99.9678,0.582222,0,0,0,0,0,0,0,0,0,0,0,0,16514,-nan,-nan,-nan,-nan,0.000304925,0.0101626,99.9695,1.01626,182234,1243333,-8982,0,173252,18446744073708481535,2.34301e+08,182234,0,1
30,108000,107324,107324,95127,4,7010,83019,16137,4,8164,0,7010,3.72703e-05,0.0760687,99.9963,7.60687,1786142,1678818,1678818,1678818,1667850,10440,1658270,528,9580,0,9580,0.000314507,0.0057064,99.9685,0.57064,0,0,0,0,0,0,0,0,0,0,0,0,16590,-nan,-nan,-nan,-nan,0.000297849,0.00993426,99.9702,0.993426,227776,1222706,-9052,0,218724,18446744073708547634,2.31422e+08,227776,0,1
31,111600,110232,110232,97783,4,7013,85815,16245,4,8168,0,7013,3.62871e-05,0.0740983,99.9964,7.40983,1832024,1721792,1721792,1721792,1710706,10555,1701072,531,9634,0,9634,0.0003084,0.00559533,99.9692,0.559533,0,0,0,0,0,0,0,0,0,0,0,0,16647,-nan,-nan,-nan,-nan,0.000292027,0.00971712,99.9708,0.971712,270632,1199468,-9103,0,261529,18446744073708613677,2.27449e+08,270632,0,1
32,115200,113277,113277,100540,4,7015,88715,16388,4,8170,0,7015,3.53117e-05,0.0721241,99.9965,7.21241,1876903,1763626,1763626,1763626,1752118,10977,1742450,531,9668,0,9668,0.000301084,0.00548189,99.9699,0.548189,0,0,0,0,0,0,0,0,0,0,0,0,16683,-nan,-nan,-nan,-nan,0.000285044,0.00950395,99.9715,0.950395,312044,1175801,-9137,0,302907,18446744073708678722,2.2285e+08,312044,0,1
33,118800,116697,116697,103676,4,7017,91957,16564,4,8172,0,7017,3.42768e-05,0.0700275,99.9966,7.00275,1925432,1808735,1808735,1808735,1797082,11122,1787379,531,9703,0,9703,0.000293575,0.00536452,99.9706,0.536452,0,0,0,0,0,0,0,0,0,0,0,0,16720,-nan,-nan,-nan,-nan,0.00027786,0.00928363,99.9722,0.928363,357008,1150795,-9172,0,347836,18446744073708748657,2.17616e+08,357008,0,1
34,122400,120868,120868,106735,4,7017,95139,17553,4,8172,0,7017,3.3094e-05,0.0676109,99.9967,6.7611,1975008,1854140,1854140,1854140,1842367,11237,1832649,536,9718,0,9718,0.000289083,0.00524124,99.9711,0.524124,0,0,0,0,0,0,0,0,0,0,0,0,16735,-nan,-nan,-nan,-nan,0.000273417,0.00905819,99.9727,0.905819,402293,1139210,-9182,0,393111,18446744073708805517,2.16297e+08,402293,0,1
35,126000,123740,123740,109368,4,7017,97892,17672,4,8172,0,7017,3.23258e-05,0.0660417,99.9968,6.60417,2022017,1898277,1898277,1898277,1886421,11312,1876695,544,9726,0,9726,0.000286576,0.00512359,99.9713,0.512359,0,0,0,0,0,0,0,0,0,0,0,0,16743,-nan,-nan,-nan,-nan,0.000271017,0.00885156,99.9729,0.885156,446347,1129571,-9182,0,437165,18446744073708859210,2.14461e+08,446347,0,1
36,129600,126638,126638,111995,4,7018,100551,17909,4,8174,0,7018,3.15861e-05,0.0645462,99.9968,6.45462,2071130,1944492,1944492,1944492,1932091,11770,1922277,631,9814,0,9814,0.000324506,0.00504708,99.9676,0.504708,0,0,0,0,0,0,0,0,0,0,0,0,16832,-nan,-nan,-nan,-nan,0.000306596,0.00868511,99.9693,0.868511,492017,1122422,-9183,0,482834,18446744073708912028,2.1293e+08,492017,0,1
37,133200,129792,129792,114895,4,9699,100551,18195,4,11042,0,9699,3.08185e-05,0.0850746,99.9969,8.50746,2133709,2003917,2003917,2003917,1991516,11770,1981150,631,10366,0,10366,0.000314883,0.00517287,99.9685,0.517287,0,0,0,0,0,0,0,0,0,0,0,0,20065,-nan,-nan,-nan,-nan,0.000297604,0.0100332,99.9702,1.00332,1,1132691,-9735,0,-9734,18446744073708409191,2.14218e+08,1,0,1
